Code.Pays,Nom.Pays,Surface_forestiere_km2,nbr_touristes,Depense_tourisme,CO2.en.t,PIB_en_M,Superficie,Population,industrie_en_pourcentage,pourcentage_tourisme,pourcentage_foret,emissions_par_hab,PIB_par_habitant
HTI,Haiti,3628.5,1190000,503000000,3279999.971,14849.63,27750,10563757,26.06,3.3872897843245924,13.075675675675678,0.31049559082057643,1405.714841793502
HUN,Hongrie,20608.2,48345000,2456000000,43380001.07,125174.17,93030,9843028,26.38,1.9620661355293987,22.152208964850047,4.407180500756475,12717.038903069259
IDN,Indonesie,950279,10407000,9800000000,488549987.8,860854.23,1913580,259091970,40.05,1.1384041175008224,49.65974769803196,1.885623810726361,3322.581668586641
IND,Inde,708280,13284000,17686000000,2158020020,2103588.35,3287260,1322866505,27.35,0.8407538480615753,21.546211738651643,1.631321083301599,1590.1743237500748
IRL,Irlande,7546.7,9528000,5704000000,37060001.37,291775.17,70280,4701957,38.15,1.9549298865972726,10.738047808764941,7.881824816773101,62053.98518106397
IRN,Iran,106919.8,5237000,9658000000,599179992.7,408212.92,1745150,81790841,32.17,2.365922176103588,6.12668252012721,7.325759038227765,4990.936821397887
ISR,Israel,1650,3109000,7506000000,66139999.39,303414.28,22070,8380100,19.82,2.4738453312085373,7.476212052560036,7.89250717652534,36206.52259519577
ITA,Italie,92970.8,81068000,30312000000,337859985.4,1836637.71,302069,60730582,20.86,1.6504071453482243,30.778001052739608,5.563259469504178,30242.3861177553
JAM,Jamaique,5774.6,3692000,413000000,7090000.153,14188.94,10990,2794445,19.27,2.9107177844151852,52.54413102820747,2.5371764887124275,5077.552072057242
JOR,Jordanie,975,4809000,1267000000,25309999.47,38587.02,89320,9494246,25.23,3.2834875561782177,1.0915808329601433,2.665825118708742,4064.2532329581513
JPN,Japon,249440,19737000,23252000000,1179439941,4444930.65,377971,127141000,28.58,0.5231127734242603,65.99448105807059,9.276629419306124,34960.639368889664
KAZ,Kazakhstan,33084.562,6430000,3046000000,190729995.7,184388.4,2724902,17542806,30.85,1.651947736408581,1.2141560320334457,10.872262721254513,10510.770055828014
KEN,Kenya,35224.1,1181000,1596000000,17209999.08,70120.45,580370,46851488,18.89,2.2760835105878527,6.069248927408378,0.36733089629938753,1496.653638834267
KGZ,Republique kirghize,12518.1,4000000,535000000,10270000.46,6678.18,199949,5956900,25.08,8.011164718531097,6.260646464848536,1.7240511776259466,1121.083113700079
KHM,Cambodge,88468.2,4775000,641000000,8430000.305,18049.95,181040,15417523,27.68,3.551256374671398,48.86665930181175,0.546780459156766,1170.7425375658595
KNA,Saint-Kitts-et-Nevis,110,1036000,52000000,239999.9946,957.04,260,47790,22.74,5.433419710774889,42.30769230769231,5.021971010671689,20025.946850805605
